Day of Year,Date,Weight
0,2050-01-01,1
5,2050-01-06,6
6,2050-01-07,1
15,2050-01-16,3
23,2050-01-24,10
28,2050-01-29,5
46,2050-02-16,10
49,2050-02-19,2
56,2050-02-26,2
58,2050-02-28,6
59,2050-03-01,6
61,2050-03-03,8
69,2050-03-11,5
83,2050-03-25,3
87,2050-03-29,4
97,2050-04-08,3
101,2050-04-12,6
102,2050-04-13,2
105,2050-04-16,6
111,2050-04-22,4
119,2050-04-30,1
128,2050-05-09,6
129,2050-05-10,3
130,2050-05-11,8
131,2050-05-12,2
134,2050-05-15,3
139,2050-05-20,3
140,2050-05-21,4
141,2050-05-22,5
145,2050-05-26,8
146,2050-05-27,1
150,2050-05-31,6
155,2050-06-05,7
161,2050-06-11,5
165,2050-06-15,5
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
182,2050-07-02,3
185,2050-07-05,4
186,2050-07-06,6
192,2050-07-12,1
193,2050-07-13,1
196,2050-07-16,3
197,2050-07-17,1
198,2050-07-18,1
199,2050-07-19,1
204,2050-07-24,2
205,2050-07-25,5
207,2050-07-27,4
216,2050-08-05,1
218,2050-08-07,1
219,2050-08-08,5
220,2050-08-09,2
230,2050-08-19,1
231,2050-08-20,4
234,2050-08-23,6
235,2050-08-24,5
236,2050-08-25,5
238,2050-08-27,6
241,2050-08-30,2
243,2050-09-01,2
251,2050-09-09,1
261,2050-09-19,5
268,2050-09-26,8
281,2050-10-09,5
283,2050-10-11,6
285,2050-10-13,12
286,2050-10-14,5
288,2050-10-16,5
293,2050-10-21,4
295,2050-10-23,3
298,2050-10-26,8
301,2050-10-29,2
307,2050-11-04,2
310,2050-11-07,1
321,2050-11-18,3
322,2050-11-19,2
325,2050-11-22,10
326,2050-11-23,1
328,2050-11-25,3
336,2050-12-03,4
339,2050-12-06,4
340,2050-12-07,8
349,2050-12-16,5
354,2050-12-21,6
358,2050-12-25,6
362,2050-12-29,7
364,2050-12-31,4
