Day of Year,Date,Weight
2,2050-01-03,1
3,2050-01-04,1
7,2050-01-08,6
9,2050-01-10,14
11,2050-01-12,5
14,2050-01-15,1
15,2050-01-16,1
18,2050-01-19,1
19,2050-01-20,2
20,2050-01-21,1
21,2050-01-22,2
25,2050-01-26,9
26,2050-01-27,3
27,2050-01-28,8
32,2050-02-02,9
34,2050-02-04,4
40,2050-02-10,4
42,2050-02-12,1
44,2050-02-14,4
45,2050-02-15,9
76,2050-03-18,2
91,2050-04-02,3
94,2050-04-05,13
98,2050-04-09,7
105,2050-04-16,2
109,2050-04-20,8
115,2050-04-26,4
130,2050-05-11,7
133,2050-05-14,1
135,2050-05-16,11
138,2050-05-19,1
147,2050-05-28,2
149,2050-05-30,1
151,2050-06-01,4
154,2050-06-04,8
165,2050-06-15,11
167,2050-06-17,3
169,2050-06-19,4
170,2050-06-20,2
171,2050-06-21,1
172,2050-06-22,2
173,2050-06-23,1
175,2050-06-25,3
181,2050-07-01,4
186,2050-07-06,3
192,2050-07-12,3
193,2050-07-13,3
194,2050-07-14,1
195,2050-07-15,2
199,2050-07-19,1
203,2050-07-23,2
205,2050-07-25,2
206,2050-07-26,3
208,2050-07-28,1
213,2050-08-02,5
215,2050-08-04,2
216,2050-08-05,2
218,2050-08-07,2
221,2050-08-10,1
223,2050-08-12,5
224,2050-08-13,1
226,2050-08-15,6
231,2050-08-20,2
232,2050-08-21,1
234,2050-08-23,4
237,2050-08-26,3
241,2050-08-30,2
242,2050-08-31,3
243,2050-09-01,2
244,2050-09-02,2
245,2050-09-03,5
248,2050-09-06,1
251,2050-09-09,1
256,2050-09-14,2
259,2050-09-17,5
263,2050-09-21,12
270,2050-09-28,10
275,2050-10-03,8
284,2050-10-12,10
296,2050-10-24,7
300,2050-10-28,9
302,2050-10-30,1
303,2050-10-31,1
308,2050-11-05,3
310,2050-11-07,1
314,2050-11-11,4
322,2050-11-19,2
323,2050-11-20,3
325,2050-11-22,9
335,2050-12-02,2
352,2050-12-19,7
359,2050-12-26,3
364,2050-12-31,4
