Day of Year,Date,Weight
12,2050-01-13,17
14,2050-01-15,2
18,2050-01-19,5
41,2050-02-11,8
46,2050-02-16,14
48,2050-02-18,11
60,2050-03-02,10
81,2050-03-23,15
84,2050-03-26,6
90,2050-04-01,5
95,2050-04-06,7
98,2050-04-09,5
113,2050-04-24,9
114,2050-04-25,7
115,2050-04-26,9
125,2050-05-06,4
133,2050-05-14,2
146,2050-05-27,5
150,2050-05-31,5
160,2050-06-10,4
163,2050-06-13,8
172,2050-06-22,2
174,2050-06-24,2
176,2050-06-26,2
180,2050-06-30,3
189,2050-07-09,2
197,2050-07-17,3
199,2050-07-19,2
203,2050-07-23,3
205,2050-07-25,5
208,2050-07-28,4
209,2050-07-29,4
216,2050-08-05,2
219,2050-08-08,6
223,2050-08-12,6
225,2050-08-14,7
226,2050-08-15,5
242,2050-08-31,2
243,2050-09-01,9
250,2050-09-08,2
262,2050-09-20,7
266,2050-09-24,8
268,2050-09-26,22
276,2050-10-04,15
279,2050-10-07,6
287,2050-10-15,6
291,2050-10-19,9
309,2050-11-06,8
313,2050-11-10,3
314,2050-11-11,5
322,2050-11-19,7
323,2050-11-20,12
332,2050-11-29,16
358,2050-12-25,2
364,2050-12-31,10
