Day of Year,Date,Weight
9,2050-01-10,14
11,2050-01-12,6
13,2050-01-14,8
18,2050-01-19,6
20,2050-01-21,2
25,2050-01-26,14
27,2050-01-28,11
34,2050-02-04,4
44,2050-02-14,5
59,2050-03-01,13
84,2050-03-26,10
87,2050-03-29,6
94,2050-04-05,14
97,2050-04-08,6
109,2050-04-20,11
113,2050-04-24,21
115,2050-04-26,4
123,2050-05-04,6
132,2050-05-13,11
151,2050-06-01,6
161,2050-06-11,3
169,2050-06-19,7
171,2050-06-21,1
175,2050-06-25,4
177,2050-06-27,11
180,2050-06-30,1
181,2050-07-01,4
197,2050-07-17,3
198,2050-07-18,3
205,2050-07-25,3
216,2050-08-05,2
221,2050-08-10,1
223,2050-08-12,6
225,2050-08-14,7
228,2050-08-17,10
234,2050-08-23,9
237,2050-08-26,7
239,2050-08-28,4
242,2050-08-31,7
245,2050-09-03,7
250,2050-09-08,4
253,2050-09-11,14
272,2050-09-30,13
285,2050-10-13,16
314,2050-11-11,7
323,2050-11-20,9
325,2050-11-22,15
329,2050-11-26,6
342,2050-12-09,3
