Day of Year,Date,Weight
0,2050-01-01,5
3,2050-01-04,2
9,2050-01-10,8
12,2050-01-13,1
13,2050-01-14,4
18,2050-01-19,2
26,2050-01-27,3
32,2050-02-02,4
36,2050-02-06,10
40,2050-02-10,6
53,2050-02-23,6
58,2050-02-28,4
63,2050-03-05,4
70,2050-03-12,3
71,2050-03-13,4
78,2050-03-20,4
83,2050-03-25,2
85,2050-03-27,4
90,2050-04-01,2
100,2050-04-11,4
106,2050-04-17,1
107,2050-04-18,1
108,2050-04-19,3
113,2050-04-24,1
118,2050-04-29,1
123,2050-05-04,3
124,2050-05-05,1
125,2050-05-06,1
128,2050-05-09,9
131,2050-05-12,3
132,2050-05-13,2
133,2050-05-14,1
136,2050-05-17,7
137,2050-05-18,5
139,2050-05-20,3
141,2050-05-22,4
151,2050-06-01,2
156,2050-06-06,3
158,2050-06-08,9
161,2050-06-11,4
171,2050-06-21,1
172,2050-06-22,1
173,2050-06-23,1
175,2050-06-25,4
176,2050-06-26,5
180,2050-06-30,5
187,2050-07-07,2
188,2050-07-08,1
190,2050-07-10,2
193,2050-07-13,2
194,2050-07-14,2
196,2050-07-16,7
197,2050-07-17,2
199,2050-07-19,1
205,2050-07-25,4
207,2050-07-27,3
213,2050-08-02,6
216,2050-08-05,1
218,2050-08-07,1
223,2050-08-12,2
228,2050-08-17,1
230,2050-08-19,3
232,2050-08-21,2
233,2050-08-22,3
238,2050-08-27,5
239,2050-08-28,7
240,2050-08-29,2
247,2050-09-05,3
249,2050-09-07,1
251,2050-09-09,1
259,2050-09-17,3
261,2050-09-19,9
266,2050-09-24,5
269,2050-09-27,6
270,2050-09-28,8
271,2050-09-29,7
273,2050-10-01,3
287,2050-10-15,4
290,2050-10-18,3
291,2050-10-19,9
292,2050-10-20,4
294,2050-10-22,2
300,2050-10-28,7
304,2050-11-01,1
305,2050-11-02,6
314,2050-11-11,3
322,2050-11-19,2
324,2050-11-21,2
330,2050-11-27,6
331,2050-11-28,9
338,2050-12-05,10
339,2050-12-06,6
340,2050-12-07,3
343,2050-12-10,2
349,2050-12-16,10
353,2050-12-20,2
358,2050-12-25,4
364,2050-12-31,2
