Day of Year,Date,Weight
9,2050-01-10,21
29,2050-01-30,12
46,2050-02-16,25
91,2050-04-02,13
97,2050-04-08,11
99,2050-04-10,12
117,2050-04-28,13
123,2050-05-04,13
128,2050-05-09,14
139,2050-05-20,6
148,2050-05-29,1
186,2050-07-06,17
198,2050-07-18,2
200,2050-07-20,9
211,2050-07-31,14
225,2050-08-14,9
239,2050-08-28,12
245,2050-09-03,7
250,2050-09-08,5
258,2050-09-16,8
270,2050-09-28,14
274,2050-10-02,8
277,2050-10-05,14
286,2050-10-14,11
292,2050-10-20,12
293,2050-10-21,12
309,2050-11-06,16
317,2050-11-14,22
330,2050-11-27,6
334,2050-12-01,8
354,2050-12-21,18
