Day of Year,Date,Weight
1,2050-01-02,1
3,2050-01-04,1
12,2050-01-13,12
13,2050-01-14,3
15,2050-01-16,2
16,2050-01-17,8
19,2050-01-20,3
20,2050-01-21,2
33,2050-02-03,10
35,2050-02-05,4
42,2050-02-12,3
46,2050-02-16,11
48,2050-02-18,9
57,2050-02-27,11
74,2050-03-16,8
84,2050-03-26,5
95,2050-04-06,3
97,2050-04-08,7
98,2050-04-09,3
101,2050-04-12,7
105,2050-04-16,2
112,2050-04-23,2
114,2050-04-25,7
115,2050-04-26,9
125,2050-05-06,4
130,2050-05-11,5
141,2050-05-22,11
149,2050-05-30,1
160,2050-06-10,4
163,2050-06-13,9
173,2050-06-23,1
175,2050-06-25,1
176,2050-06-26,3
189,2050-07-09,2
193,2050-07-13,4
195,2050-07-15,2
197,2050-07-17,3
198,2050-07-18,2
199,2050-07-19,1
200,2050-07-20,1
202,2050-07-22,4
205,2050-07-25,3
206,2050-07-26,7
208,2050-07-28,3
209,2050-07-29,4
211,2050-07-31,1
214,2050-08-03,2
216,2050-08-05,2
219,2050-08-08,7
223,2050-08-12,5
226,2050-08-15,5
229,2050-08-18,1
230,2050-08-19,1
234,2050-08-23,3
238,2050-08-27,2
240,2050-08-29,4
242,2050-08-31,2
245,2050-09-03,3
251,2050-09-09,2
257,2050-09-15,5
259,2050-09-17,7
261,2050-09-19,1
268,2050-09-26,16
276,2050-10-04,8
283,2050-10-11,7
287,2050-10-15,9
291,2050-10-19,6
299,2050-10-27,11
302,2050-10-30,1
304,2050-11-01,1
305,2050-11-02,1
312,2050-11-09,3
313,2050-11-10,3
314,2050-11-11,5
322,2050-11-19,4
325,2050-11-22,8
326,2050-11-23,2
336,2050-12-03,5
340,2050-12-07,8
344,2050-12-11,1
349,2050-12-16,4
358,2050-12-25,1
