Day of Year,Date,Weight
2,2050-01-03,1
3,2050-01-04,1
12,2050-01-13,14
14,2050-01-15,2
18,2050-01-19,3
35,2050-02-05,5
46,2050-02-16,13
50,2050-02-20,12
83,2050-03-25,1
84,2050-03-26,5
90,2050-04-01,4
98,2050-04-09,3
100,2050-04-11,8
105,2050-04-16,2
114,2050-04-25,7
117,2050-04-28,4
118,2050-04-29,4
131,2050-05-12,5
133,2050-05-14,2
134,2050-05-15,30
146,2050-05-27,4
149,2050-05-30,1
153,2050-06-03,6
161,2050-06-11,3
163,2050-06-13,10
171,2050-06-21,1
172,2050-06-22,1
174,2050-06-24,2
176,2050-06-26,3
181,2050-07-01,4
187,2050-07-07,3
188,2050-07-08,1
189,2050-07-09,2
191,2050-07-11,3
193,2050-07-13,3
196,2050-07-16,2
198,2050-07-18,1
199,2050-07-19,1
203,2050-07-23,3
205,2050-07-25,3
208,2050-07-28,4
209,2050-07-29,4
211,2050-07-31,1
215,2050-08-04,2
216,2050-08-05,2
219,2050-08-08,7
221,2050-08-10,3
228,2050-08-17,4
231,2050-08-20,3
234,2050-08-23,3
240,2050-08-29,4
242,2050-08-31,2
243,2050-09-01,4
257,2050-09-15,5
266,2050-09-24,8
276,2050-10-04,17
278,2050-10-06,7
284,2050-10-12,7
287,2050-10-15,6
289,2050-10-17,3
298,2050-10-26,12
302,2050-10-30,1
312,2050-11-09,4
313,2050-11-10,3
314,2050-11-11,5
320,2050-11-17,7
321,2050-11-18,8
327,2050-11-24,1
331,2050-11-28,12
336,2050-12-03,11
340,2050-12-07,7
348,2050-12-15,5
349,2050-12-16,4
364,2050-12-31,6
