Day of Year,Date,Weight
2,2050-01-03,1
9,2050-01-10,7
13,2050-01-14,5
15,2050-01-16,3
19,2050-01-20,2
20,2050-01-21,2
22,2050-01-23,3
25,2050-01-26,7
35,2050-02-05,4
39,2050-02-09,8
42,2050-02-12,3
46,2050-02-16,12
48,2050-02-18,8
50,2050-02-20,6
53,2050-02-23,5
54,2050-02-24,3
83,2050-03-25,1
84,2050-03-26,4
87,2050-03-29,5
95,2050-04-06,5
97,2050-04-08,6
98,2050-04-09,3
100,2050-04-11,3
105,2050-04-16,2
109,2050-04-20,2
114,2050-04-25,5
115,2050-04-26,7
124,2050-05-05,2
125,2050-05-06,3
133,2050-05-14,2
141,2050-05-22,10
146,2050-05-27,4
150,2050-05-31,5
151,2050-06-01,3
152,2050-06-02,1
157,2050-06-07,9
161,2050-06-11,3
163,2050-06-13,8
167,2050-06-17,5
168,2050-06-18,3
171,2050-06-21,1
172,2050-06-22,1
174,2050-06-24,2
180,2050-06-30,1
185,2050-07-05,2
187,2050-07-07,3
191,2050-07-11,3
193,2050-07-13,2
196,2050-07-16,2
197,2050-07-17,2
198,2050-07-18,1
199,2050-07-19,1
200,2050-07-20,2
203,2050-07-23,3
205,2050-07-25,3
207,2050-07-27,1
210,2050-07-30,1
216,2050-08-05,1
217,2050-08-06,1
219,2050-08-08,6
221,2050-08-10,3
223,2050-08-12,5
228,2050-08-17,4
230,2050-08-19,1
231,2050-08-20,3
234,2050-08-23,3
237,2050-08-26,1
240,2050-08-29,4
242,2050-08-31,2
243,2050-09-01,5
244,2050-09-02,2
250,2050-09-08,2
252,2050-09-10,2
259,2050-09-17,5
268,2050-09-26,18
276,2050-10-04,11
283,2050-10-11,6
291,2050-10-19,6
293,2050-10-21,4
298,2050-10-26,9
302,2050-10-30,1
303,2050-10-31,1
304,2050-11-01,1
313,2050-11-10,4
314,2050-11-11,5
317,2050-11-14,2
323,2050-11-20,8
326,2050-11-23,2
327,2050-11-24,1
336,2050-12-03,4
340,2050-12-07,7
343,2050-12-10,2
354,2050-12-21,7
356,2050-12-23,2
359,2050-12-26,1
360,2050-12-27,2
