Day of Year,Date,Weight
2,2050-01-03,4
8,2050-01-09,13
14,2050-01-15,1
15,2050-01-16,2
16,2050-01-17,4
18,2050-01-19,1
20,2050-01-21,1
25,2050-01-26,6
34,2050-02-04,7
42,2050-02-12,2
45,2050-02-15,7
55,2050-02-25,9
57,2050-02-27,7
59,2050-03-01,4
65,2050-03-07,10
74,2050-03-16,4
87,2050-03-29,6
95,2050-04-06,11
99,2050-04-10,7
109,2050-04-20,8
111,2050-04-22,5
115,2050-04-26,5
132,2050-05-13,8
148,2050-05-29,1
149,2050-05-30,1
151,2050-06-01,2
153,2050-06-03,7
163,2050-06-13,7
171,2050-06-21,1
172,2050-06-22,1
174,2050-06-24,1
175,2050-06-25,3
178,2050-06-28,3
180,2050-06-30,2
181,2050-07-01,4
184,2050-07-04,4
185,2050-07-05,1
191,2050-07-11,1
194,2050-07-14,3
196,2050-07-16,2
197,2050-07-17,3
201,2050-07-21,1
202,2050-07-22,2
204,2050-07-24,1
208,2050-07-28,1
210,2050-07-30,1
211,2050-07-31,2
215,2050-08-04,3
217,2050-08-06,2
220,2050-08-09,6
223,2050-08-12,4
226,2050-08-15,2
232,2050-08-21,3
233,2050-08-22,1
234,2050-08-23,3
236,2050-08-25,6
237,2050-08-26,2
240,2050-08-29,3
241,2050-08-30,3
245,2050-09-03,2
250,2050-09-08,3
251,2050-09-09,2
252,2050-09-10,2
253,2050-09-11,9
254,2050-09-12,11
256,2050-09-14,3
259,2050-09-17,10
266,2050-09-24,8
268,2050-09-26,15
277,2050-10-05,8
281,2050-10-09,5
286,2050-10-14,4
298,2050-10-26,15
314,2050-11-11,4
320,2050-11-17,9
321,2050-11-18,5
334,2050-12-01,2
337,2050-12-04,6
345,2050-12-12,4
349,2050-12-16,4
360,2050-12-27,4
364,2050-12-31,5
