Day of Year,Date,Weight
3,2050-01-04,7
16,2050-01-17,9
17,2050-01-18,8
32,2050-02-02,10
34,2050-02-04,8
46,2050-02-16,15
93,2050-04-04,10
109,2050-04-20,9
129,2050-05-10,6
142,2050-05-23,13
158,2050-06-08,16
159,2050-06-09,6
161,2050-06-11,7
162,2050-06-12,9
194,2050-07-14,7
196,2050-07-16,11
197,2050-07-17,3
200,2050-07-20,12
205,2050-07-25,7
213,2050-08-02,14
233,2050-08-22,7
254,2050-09-12,12
255,2050-09-13,7
262,2050-09-20,15
264,2050-09-22,10
265,2050-09-23,4
266,2050-09-24,10
270,2050-09-28,12
287,2050-10-15,8
299,2050-10-27,4
308,2050-11-05,10
316,2050-11-13,15
321,2050-11-18,12
324,2050-11-21,11
330,2050-11-27,6
331,2050-11-28,14
333,2050-11-30,3
341,2050-12-08,10
343,2050-12-10,6
357,2050-12-24,2
