Date,Cluster,Extreme Day,Medoid
2050-01-01,31,0,0
2050-01-02,21,0,0
2050-01-03,23,0,0
2050-01-04,23,0,0
2050-01-05,23,0,0
2050-01-06,23,0,0
2050-01-07,33,0,0
2050-01-08,0,0,0
2050-01-09,23,0,0
2050-01-10,23,0,0
2050-01-11,20,0,0
2050-01-12,23,0,1
2050-01-13,20,0,0
2050-01-14,36,0,0
2050-01-15,20,0,0
2050-01-16,39,1,1
2050-01-17,17,0,0
2050-01-18,20,0,0
2050-01-19,23,0,0
2050-01-20,23,0,0
2050-01-21,17,0,1
2050-01-22,15,0,0
2050-01-23,40,1,1
2050-01-24,20,0,0
2050-01-25,6,0,0
2050-01-26,6,0,0
2050-01-27,36,0,0
2050-01-28,33,0,0
2050-01-29,29,0,0
2050-01-30,28,0,0
2050-01-31,20,0,0
2050-02-01,24,0,0
2050-02-02,36,0,0
2050-02-03,6,0,0
2050-02-04,29,0,0
2050-02-05,29,0,1
2050-02-06,6,0,1
2050-02-07,6,0,0
2050-02-08,6,0,0
2050-02-09,6,0,0
2050-02-10,24,0,0
2050-02-11,37,0,0
2050-02-12,29,0,0
2050-02-13,20,0,0
2050-02-14,23,0,0
2050-02-15,30,0,0
2050-02-16,6,0,0
2050-02-17,22,0,0
2050-02-18,7,0,0
2050-02-19,38,0,0
2050-02-20,24,0,0
2050-02-21,1,0,0
2050-02-22,4,0,0
2050-02-23,30,0,0
2050-02-24,30,0,1
2050-02-25,37,0,0
2050-02-26,33,0,0
2050-02-27,15,0,0
2050-02-28,1,0,0
2050-03-01,23,0,0
2050-03-02,20,0,0
2050-03-03,6,0,0
2050-03-04,29,0,0
2050-03-05,38,0,1
2050-03-06,22,0,0
2050-03-07,30,0,0
2050-03-08,26,0,1
2050-03-09,21,0,0
2050-03-10,5,0,0
2050-03-11,7,0,0
2050-03-12,7,0,0
2050-03-13,21,0,0
2050-03-14,13,0,0
2050-03-15,21,0,0
2050-03-16,21,0,0
2050-03-17,30,0,0
2050-03-18,7,0,0
2050-03-19,38,0,0
2050-03-20,16,0,0
2050-03-21,21,0,0
2050-03-22,22,0,0
2050-03-23,14,0,0
2050-03-24,14,0,0
2050-03-25,7,0,0
2050-03-26,8,0,0
2050-03-27,30,0,0
2050-03-28,30,0,0
2050-03-29,30,0,0
2050-03-30,32,0,0
2050-03-31,32,0,0
2050-04-01,33,0,0
2050-04-02,33,0,0
2050-04-03,41,1,1
2050-04-04,5,0,0
2050-04-05,5,0,0
2050-04-06,16,0,0
2050-04-07,21,0,0
2050-04-08,38,0,0
2050-04-09,7,0,0
2050-04-10,32,0,0
2050-04-11,13,0,0
2050-04-12,21,0,0
2050-04-13,27,0,0
2050-04-14,13,0,0
2050-04-15,31,0,0
2050-04-16,31,0,0
2050-04-17,21,0,0
2050-04-18,22,0,0
2050-04-19,16,0,0
2050-04-20,16,0,1
2050-04-21,16,0,0
2050-04-22,19,0,0
2050-04-23,19,0,0
2050-04-24,27,0,0
2050-04-25,32,0,1
2050-04-26,27,0,0
2050-04-27,4,0,0
2050-04-28,4,0,0
2050-04-29,7,0,0
2050-04-30,35,0,1
2050-05-01,22,0,0
2050-05-02,10,0,0
2050-05-03,10,0,1
2050-05-04,22,0,0
2050-05-05,16,0,0
2050-05-06,35,0,0
2050-05-07,19,0,1
2050-05-08,16,0,0
2050-05-09,32,0,0
2050-05-10,27,0,0
2050-05-11,16,0,0
2050-05-12,10,0,0
2050-05-13,19,0,0
2050-05-14,7,0,0
2050-05-15,5,0,0
2050-05-16,4,0,0
2050-05-17,24,0,0
2050-05-18,27,0,0
2050-05-19,5,0,0
2050-05-20,7,0,0
2050-05-21,32,0,0
2050-05-22,26,0,0
2050-05-23,26,0,0
2050-05-24,1,0,0
2050-05-25,22,0,0
2050-05-26,26,0,0
