Number,from bus,to bus,if this branch is existing,Max Flow,Susceptance,Distance (mile)
146,73,74,1,3200,97847.35812,0
147,73,92,0,2655.4,28779.9,19.2
148,74,93,1,2376.62,18871.48519,19.22179074
149,74,92,0,2655.4,28779.9,19.2
150,75,76,1,3200,89206.06601,0
151,75,77,1,3200,88028.16901,0
152,75,78,0,2401.4,-3980.7,30
153,75,79,0,2401.4,-3980.7,30
154,78,79,1,3200,98039.21569,0
155,80,81,1,3200,85543.19932,0
156,80,82,1,3200,87108.01394,0
157,83,86,1,2114.07,24396.19419,16.07063681
158,83,85,0,2729.5,38334.8,16.1
159,85,86,1,3200,98716.68312,0
160,87,88,1,3200,85324.23208,0
161,89,90,1,3200,87642.41893,0
162,89,91,1,3200,99009.90099,0
163,89,147,0,2919.4,62834.4,8
164,90,95,1,2410.67,21767.52286,17.00075213
165,90,121,1,2518.72,14386.41922,29.04662183
166,90,147,1,2847.53,42625.74595,7.990770452
167,91,147,0,2919.4,62834.4,8
168,92,93,1,3200,94073.37723,0
169,94,95,1,3200,83822.29673,0
170,94,137,0,2754.7,41589,15
171,94,138,0,2754.7,41589,15
172,95,138,1,2618.31,24563.98919,14.99741945
173,95,137,0,2754.7,41589,15
174,96,97,1,3200,87260.0349,0
175,96,127,0,2774,44073.1,14.2
176,97,128,1,2738.41,29282.57687,14.17816955
177,97,143,1,3154.54,16371.97119,22.63473264
178,97,154,1,2400.29,28089.88764,15.74186622
179,97,127,0,2774,44073.1,14.2
180,98,100,1,2685.46,18047.28388,22.83134929
181,98,106,0,2704.6,35120.3,17.1
182,99,100,1,3200,91827.36455,0
183,99,101,1,3200,87950.74758,0
184,100,111,1,2946.6,18667.16446,23.3495728
185,102,103,1,3200,96618.35749,0
186,102,181,0,2735.9,39166.8,15.8
187,102,104,0,2703.3,34958.6,17.2
188,102,105,0,2703.3,34958.6,17.2
189,103,182,1,2417.7,25043.8267,15.79622965
190,103,104,1,2640.77,23223.4092,17.18410101
191,103,181,0,2735.9,39166.8,15.8
192,104,105,1,3200,92506.93802,0
193,104,140,1,2729.83,20429.00919,20.10601614
194,106,107,1,3200,86580.08658,0
195,106,111,1,2653,42319.08591,8.804544401
196,106,112,0,2900.3,60366.9,8.8
197,107,111,0,2900.3,60366.9,8.8
198,108,109,1,3200,91074.68124,0
199,108,110,1,3200,92506.93802,0
200,108,135,0,2888.1,58789.1,9.3
201,108,136,0,2888.1,58789.1,9.3
202,109,135,0,2888.1,58789.1,9.3
203,110,111,1,2660.37,31017.36973,13.07910937
204,110,119,1,2622.23,29913.25157,13.35115249
205,110,136,1,2556.57,45289.85507,9.32487637
206,110,135,0,2888.1,58789.1,9.3
207,111,112,1,3200,95419.84733,0
208,113,116,1,2576.66,24697.45616,14.70000638
209,113,119,1,2377.46,14334.86239,33.77118638
210,113,128,1,2849.6,22920.00917,17.20371788
211,113,114,0,2761.7,42490.8,14.7
212,113,115,0,2761.7,42490.8,14.7
213,114,115,1,3200,88183.42152,0
214,114,116,1,3200,83542.18881,0
215,117,118,1,3200,97087.37864,0
