1,2,3,4,5,6
0.467454116,0.634123731,0.634123731,0.634123731,0.634123731,0.76150452
0.499615561,0.665264011,0.665264011,0.665264011,0.665264011,0.768681663
0.563363141,0.702412071,0.702412071,0.702412071,0.702412071,0.790050948
0.641401049,0.718703776,0.718703776,0.718703776,0.718703776,0.793838073
0.688384604,0.704638458,0.704638458,0.704638458,0.704638458,0.795565291
0.722219288,0.646981676,0.646981676,0.646981676,0.646981676,0.737759277
0.741768562,0.600193309,0.600193309,0.600193309,0.600193309,0.599698618
0.753255586,0.561227755,0.561227755,0.561227755,0.561227755,0.532725873
0.760703591,0.54795746,0.54795746,0.54795746,0.54795746,0.47037775
0.762104675,0.502626685,0.502626685,0.502626685,0.502626685,0.46692443
0.754341374,0.445860069,0.445860069,0.445860069,0.445860069,0.466379202
0.732783238,0.358995704,0.358995704,0.358995704,0.358995704,0.451752844
0.695233241,0.32659799,0.32659799,0.32659799,0.32659799,0.375116322
0.642387425,0.33717879,0.33717879,0.33717879,0.33717879,0.353249842
0.583600066,0.378797983,0.378797983,0.378797983,0.378797983,0.438557101
0.506061189,0.43694036,0.43694036,0.43694036,0.43694036,0.545821663
0.439484795,0.503105814,0.503105814,0.503105814,0.503105814,0.603156086
0.405047774,0.545883315,0.545883315,0.545883315,0.545883315,0.671801459
0.363787845,0.593046795,0.593046795,0.593046795,0.593046795,0.700534497
0.370341112,0.635270433,0.635270433,0.635270433,0.635270433,0.765920712
0.430567046,0.667752023,0.667752023,0.667752023,0.667752023,0.785432125
0.509698303,0.707646022,0.707646022,0.707646022,0.707646022,0.790160921
0.547271643,0.749217201,0.749217201,0.749217201,0.749217201,0.793557009
0.595566695,0.772683709,0.772683709,0.772683709,0.772683709,0.790992534
0.637933594,0.786957115,0.786957115,0.786957115,0.786957115,0.792075685
0.696447462,0.786124055,0.786124055,0.786124055,0.786124055,0.790665687
0.749055035,0.790072095,0.790072095,0.790072095,0.790072095,0.786836264
0.779490099,0.783631428,0.783631428,0.783631428,0.783631428,0.787348778
0.784061489,0.780689587,0.780689587,0.780689587,0.780689587,0.788224035
0.788003589,0.774162957,0.774162957,0.774162957,0.774162957,0.789287465
0.791502341,0.774861272,0.774861272,0.774861272,0.774861272,0.784333274
0.793881743,0.768611602,0.768611602,0.768611602,0.768611602,0.7643608
0.792883804,0.755063445,0.755063445,0.755063445,0.755063445,0.741558558
0.786521835,0.726967993,0.726967993,0.726967993,0.726967993,0.714492497
0.767321194,0.665639817,0.665639817,0.665639817,0.665639817,0.659340512
0.763417829,0.661838588,0.661838588,0.661838588,0.661838588,0.65702613
0.759449784,0.676460075,0.676460075,0.676460075,0.676460075,0.699866921
0.752274445,0.667810466,0.667810466,0.667810466,0.667810466,0.672775536
0.743268244,0.646469056,0.646469056,0.646469056,0.646469056,0.618824338
0.726836716,0.61078207,0.61078207,0.61078207,0.61078207,0.548866877
0.709140935,0.583835522,0.583835522,0.583835522,0.583835522,0.495574241
0.696896665,0.56824822,0.56824822,0.56824822,0.56824822,0.44479185
0.687382567,0.566941526,0.566941526,0.566941526,0.566941526,0.432465646
0.676457776,0.577143521,0.577143521,0.577143521,0.577143521,0.438177843
0.666232422,0.589462613,0.589462613,0.589462613,0.589462613,0.41237684
0.664035079,0.60451784,0.60451784,0.60451784,0.60451784,0.44227066
0.665627183,0.620310553,0.620310553,0.620310553,0.620310553,0.432296594
0.667902392,0.619213416,0.619213416,0.619213416,0.619213416,0.399227577
0.670506371,0.613000391,0.613000391,0.613000391,0.613000391,0.402687564
0.676590948,0.611841663,0.611841663,0.611841663,0.611841663,0.466595717
0.69188774,0.626949499,0.626949499,0.626949499,0.626949499,0.517540759
0.693134255,0.646325768,0.646325768,0.646325768,0.646325768,0.562949173
0.635257631,0.607605258,0.607605258,0.607605258,0.607605258,0.516104051
0.556799618,0.575019887,0.575019887,0.575019887,0.575019887,0.445952054
0.510321264,0.586135397,0.586135397,0.586135397,0.586135397,0.524899214
0.505048631,0.621123328,0.621123328,0.621123328,0.621123328,0.605469196
0.523022741,0.658577238,0.658577238,0.658577238,0.658577238,0.665759066
0.576540249,0.695207244,0.695207244,0.695207244,0.695207244,0.682614002
0.669198564,0.728317678,0.728317678,0.728317678,0.728317678,0.720378668
0.730343803,0.754604509,0.754604509,0.754604509,0.754604509,0.77181079
0.751917561,0.760310252,0.760310252,0.760310252,0.760310252,0.785030995
0.758695451,0.756265521,0.756265521,0.756265521,0.756265521,0.783616572
0.762386901,0.742168206,0.742168206,0.742168206,0.742168206,0.782760834
0.759339703,0.736851277,0.736851277,0.736851277,0.736851277,0.779243223
0.741180824,0.730981004,0.730981004,0.730981004,0.730981004,0.766909296
0.725837068,0.72071286,0.72071286,0.72071286,0.72071286,0.758446752
0.715257402,0.71302799,0.71302799,0.71302799,0.71302799,0.757960943
0.69453575,0.698629483,0.698629483,0.698629483,0.698629483,0.752701845
0.667067092,0.685336688,0.685336688,0.685336688,0.685336688,0.741700675
0.63721553,0.674274709,0.674274709,0.674274709,0.674274709,0.73505083
0.604236709,0.662455318,0.662455318,0.662455318,0.662455318,0.732749465
0.582957441,0.653653694,0.653653694,0.653653694,0.653653694,0.722945481
0.560417269,0.645752479,0.645752479,0.645752479,0.645752479,0.696496739
0.556353896,0.633444296,0.633444296,0.633444296,0.633444296,0.698939591
0.562315486,0.635470182,0.635470182,0.635470182,0.635470182,0.699026996
0.586331197,0.632291747,0.632291747,0.632291747,0.632291747,0.696761997
0.564315438,0.603287074,0.603287074,0.603287074,0.603287074,0.566247134
0.494202658,0.552815365,0.552815365,0.552815365,0.552815365,0.392567233
0.445428271,0.511418656,0.511418656,0.511418656,0.511418656,0.299786251
0.433133461,0.509031696,0.509031696,0.509031696,0.509031696,0.29567734
0.464901535,0.538076463,0.538076463,0.538076463,0.538076463,0.352742668
0.5398385,0.587671983,0.587671983,0.587671983,0.587671983,0.400179359
