9001,9003,9005,9009,9015,23017,23029,23031,25003,25009,25013,25021,25027,33007,33015,44007,50011,50019,,,
227362.4809,215436.9229,53116.68199,248299.9177,131069.3977,820618.4784,530742.546,844607.8595,4126.9838,16715.83369,15138.49143,74731.72805,17725.2648,21035.61352,152642.3041,322150.8828,44879.97141,31165.85983,,,
201270.489,190772.4877,48128.78041,220164.9753,116334.9893,748844.324,482875.9839,764645.6325,4080.612163,16422.99212,14879.66552,73079.96452,17416.98828,19443.66417,141528.1971,283865.9561,43954.9012,30556.59522,,4.86E+08,5.76E+08
186431.9301,176745.7826,45292.15253,204164.587,107955.5069,590454.013,377244.6499,588185.9846,3939.652156,15532.81541,14092.88927,68058.95132,16479.8926,15978.03071,117333.0676,222773.4602,35000.08668,24658.825,,,
191552.4229,181586.1208,46271.01664,209686.0041,110847.1003,607519.8545,388625.9496,607198.7156,3944.585589,15563.97054,14120.42551,68234.68084,16512.68984,17299.33365,126557.6715,253552.3506,36366.98345,25559.08296,,,
231153.5638,219020.5864,53841.40812,252387.8348,133210.26,775821.5073,500867.2097,794700.4018,4029.472212,16100.03815,14594.22499,71258.35302,17077.01223,19186.47679,139732.6576,313509.2564,47455.21128,32861.95001,,,
241750.7249,229037.9508,55867.22495,263814.7322,139194.5827,852233.7946,551826.9672,879829.8849,4119.683894,16669.73405,15097.74659,74471.70448,17676.73536,21481.6283,155756.1317,343511.2965,53337.59499,36736.17291,,,
217995.0632,206582.0195,51325.95027,238199.05,125779.5234,770316.513,497195.9,788567.3918,3844.746419,14933.47608,13563.16753,64678.39701,15848.96359,18807.7975,137088.9289,304880.9606,45509.65629,31580.57938,,,
168976.5928,160245.4695,41955.28561,185342.5319,98098.30363,551805.3391,351469.6455,545128.2285,3890.809076,15224.36642,13820.26886,66319.15467,16155.18604,14903.637,109832.2469,202588.0955,35241.01365,24817.50298,,,
130557.984,123928.8367,34610.95407,143915.8233,76402.93165,415056.7857,260271.3138,392779.2531,3767.460001,14445.40453,13131.78902,61925.44509,15335.16702,12279.4529,91511.64976,165258.0948,26903.75872,19326.46643,,,
138070.6163,131030.4346,36047.11389,152016.6796,80645.39012,449883.3648,283497.3431,431578.8858,3773.054143,14480.73211,13163.01304,62124.70915,15372.35663,12703.23394,94470.25379,173347.8836,28256.51375,20217.41044,,,
110487.3066,104956.2752,30774.12306,122273.6521,65068.8197,339699.8719,210015.3905,308825.5417,3666.018071,13804.78848,12565.58515,58312.07079,14660.78571,10221.94124,77147.24508,123694.76,22199.16273,16227.95154,,,
75250.72206,71647.57027,24038.08632,84278.1138,45170.36853,249724.5584,150010.3792,208585.7477,3610.987101,13457.26234,12258.42668,56351.86072,14294.94234,8713.679358,66617.39764,85608.51796,17283.33661,12990.31743,,,
118127.3613,112178.3238,32234.64171,130511.9077,69383.23486,358842.1902,222781.5035,330151.6362,3686.487128,13934.05265,12679.83435,59041.18118,14796.86307,11799.09484,88158.0563,128229.9239,38227.03499,26784.13978,,,
175566.2487,166474.5892,43215.00375,192448.1446,101819.5481,584773.7982,373456.4848,581857.7649,3703.697531,14042.73808,12775.89519,59654.21788,14911.27704,15708.77762,115453.2919,236001.4813,38763.18755,27137.2576,,,
190379.632,180477.496,46046.81889,208421.386,110184.8136,657835.015,422181.3956,663253.8837,3997.329703,15897.05495,14414.81976,70113.43281,16863.3303,17534.30186,128198.0891,265110.9655,42470.73392,29579.1012,,,
149441.5288,141779.2166,38220.84568,164277.9116,87066.65794,482474.7066,305232.6809,467888.283,3844.426807,14931.45769,13561.3836,64667.0124,15846.83883,13983.47925,103408.2161,182072.3671,32541.69684,23039.69393,,,
139679.8207,132551.5954,36354.73904,153751.8814,81554.12389,437501.6447,275239.9087,417784.6458,3795.742432,14624.01094,13289.64901,62932.86884,15523.18733,12708.76116,94508.8418,164068.4397,30435.47985,21652.50899,,,
164498.1611,156012.0637,41099.16177,180513.448,95569.28854,496042.9443,314281.4102,483004.3997,3799.442517,14647.37735,13310.30124,63064.66634,15547.78533,14030.81322,103738.6756,181780.4023,32185.84776,22805.32659,,,
150598.6615,142873.0397,38442.0501,165525.6455,87720.1023,483953.5669,306218.9406,469535.8532,3796.140745,14626.52633,13291.87221,62947.0568,15525.8353,13518.40984,100161.3595,179793.5243,29902.64458,21301.57599,,,
116724.4118,110852.133,31966.44546,128999.1101,68590.97525,390240.3723,243721.1168,365131.7567,3656.350991,13743.73989,12511.6278,57967.72819,14596.51941,11044.57726,82890.43332,129575.5505,24720.7854,17888.72866,,,
103295.3747,98157.83144,29399.27024,114518.6064,61007.46395,321639.9222,197971.1148,288705.2936,3482.399476,12645.21848,11540.70758,51771.55334,13440.09769,9940.219147,75180.4178,118436.802,19241.28758,14279.85223,,,
113735.4774,108026.7306,31395.06285,125776.1482,66903.09417,398628.7781,249315.3889,374477.1208,3805.858031,14687.89197,13346.1098,63293.18776,15590.43537,12786.42706,95051.062,146390.7504,29273.37979,20887.13311,,,
104965.1727,99736.27064,29718.47883,116319.1462,61950.41551,389366.5884,243138.3857,364158.2905,3803.500139,14673.00165,13332.94909,63209.19934,15574.76021,12883.12921,95726.18272,117249.8361,22229.46822,16247.91118,,,
123105.0624,116883.6826,33186.20888,135879.3528,72194.19235,413898.0829,259498.5688,391488.3643,3766.371768,14438.53223,13125.71499,61886.68211,15327.9325,12609.89633,93818.62241,150881.8581,29955.75745,21336.55689,,,
