,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
0,104854.9781,99579.29185,28705.6012,115878.1612,61613.27734,96851.08955,60025.21099,88672.66006,25544.69685,131053.5879,117010.4369,675890.015,138376.7904,23085.37946,166688.8548,135976.0847,64489.45108,44051.85572,2.18E+06
1,137513.4107,130450.9018,34948.78295,151093.6835,80055.82034,107180.1223,66913.69742,100180.04,26586.6178,137633.4241,122825.9776,713003.3704,145303.4332,27396.82133,196788.9494,121096.6435,67468.90836,46014.16934,2.41E+06
2,126221.0984,119776.4195,32790.07684,138917.2058,73678.93885,98534.49123,61147.88045,90548.10602,22990.43286,114923.1524,102753.668,584906.8102,121396.1601,20639.1716,149610.789,108883.397,80325.47019,54481.68671,2.10E+06
3,134868.8296,127951.0122,34443.22898,148242.037,78562.399,99918.10252,62070.61812,92089.56117,26238.14217,135432.7653,120880.9412,700590.6247,142986.7832,23370.01553,168676.0259,117682.7148,82044.42791,55613.81709,2.35E+06
4,167719.0163,159003.8848,40723.06758,183664.3273,97113.22744,112286.6757,70319.28484,105869.1545,32171.7751,172904.2575,153999.8488,911947.376,182433.3036,31141.87266,222934.8195,159879.5103,75681.37493,51423.01847,2.93E+06
5,194964.8796,184759.0604,45931.55014,213043.4869,112499.2385,119834.64,75353.06203,114278.1987,30809.74377,164302.8919,146397.594,863431.6488,173378.5816,32930.03217,235418.7569,169030.9056,66462.10536,45351.07434,2.99E+06
6,180780.0026,171350.2727,43219.88403,197747.9626,104488.8968,106761.5897,66634.57578,99713.76066,26456.41655,136811.19,122099.2519,708365.5853,144437.8612,29052.0688,208344.9687,136859.2147,62875.86613,42989.12536,2.59E+06
7,190152.4395,180209.9206,45011.57525,207854.2425,109781.6055,121082.0212,76184.94711,115667.8824,28271.45595,148273.3475,132229.997,773017.5173,156504.1602,34012.91176,242978.8212,158222.2009,76987.30603,52283.12357,2.85E+06
8,168433.4185,159679.2003,40859.63699,184434.6657,97516.65749,116790.4025,73322.84397,110886.6712,32474.43795,174815.604,155689.1786,922728.2649,184445.3924,33104.73703,236638.4493,129141.432,63308.3647,43273.97518,2.93E+06
9,151379.7992,143558.6263,37599.5649,166045.7824,87886.30841,113043.8084,70824.22064,106712.6617,32656.7978,175967.2249,156707.0304,929223.9455,185657.7123,30229.44299,216564.7419,127046.8745,55805.90631,38332.74768,2.83E+06
10,159284.4602,151030.8039,39110.66727,174569.3623,92350.14936,125819.2462,79344.22749,120945.5352,32503.56614,174999.5515,155851.7593,923765.8148,184639.0353,34670.04124,247566.5347,121054.0793,66746.39168,45538.30942,2.93E+06
11,157435.6348,149283.1322,38757.23473,172575.7776,91306.09921,125101.3086,78865.43111,120145.6945,31678.35067,169788.2323,151245.7725,894371.5359,179153.0406,32776.49258,234346.8287,145350.6234,62813.9606,42948.35349,2.88E+06
12,126433.9518,119977.6271,32830.76716,139146.7252,73799.13926,104920.7729,65406.9254,97662.94158,29073.71614,153339.7018,136707.8576,801594.1262,161837.5493,27649.18856,198550.8373,185008.5262,68660.65928,46799.07372,2.57E+06
13,118852.407,112810.8872,31381.43362,130971.5607,69517.76523,88801.80053,54657.09768,79705.0995,30001.77343,159200.4774,141887.8618,834651.6436,168007.2317,23811.91728,171761.1387,228863.8678,67804.35069,46235.09651,2.56E+06
14,169827.7233,160997.2193,41126.18065,185938.1418,98304.03532,104166.0177,64903.57513,96822.08302,32794.74128,176838.3519,157476.9698,934137.5097,186574.7543,31016.38049,222058.7028,214280.622,51687.58979,35620.36493,2.96E+06
15,190138.9337,180197.1537,45008.99338,207839.6791,109773.9786,107794.7332,67323.58469,100864.7664,29570.31633,156475.7822,139479.6596,819283.0873,165138.9246,32731.18155,234030.4922,163550.5566,82414.3832,55857.475,2.89E+06
16,187825.6567,178010.4417,44566.77349,205345.2772,108467.648,127338.3083,80357.29803,122637.8935,32172.30673,172907.6148,154002.8161,911966.3126,182436.8378,38153.34169,271885.0054,269939.2775,107856.3577,72613.92699,3.27E+06
17,236559.1117,224077.5703,53882.95288,257894.4638,135987.9167,146748.3002,93301.92399,144262.1981,34881.99659,190019.5804,169127.1033,1008485.807,200450.7322,50238.82193,356259.1218,238997.3098,88040.30176,59562.78624,3.69E+06
