SVL,County,State,lat,lon,Storage-cap,Vap-cap,Liq-cap
0,Belknap,NH,43.519109,71.425366,3238640,245109.2,9177.4995
1,Essex,MA,42.642711,70.865107,3205040,310234.4,7651.824
2,Hampshire,MA,42.339459,72.663694,2982416,284972.8,8175.912
3,Bristol,RI,41.705271,71.285053,3742720,284578,8536.962
4,Hartford,CT,41.806053,72.732916,2831184,275105.6,9957.846
5,Everett,MA,42.4084,71.0537,3400000,1000000,0
6,Cape Ann,MA,42.6486,70.5931,5000000,600000,0
