Node,Cluster
0.0,1
2.0,1
5.0,3
8.0,1
11.0,3
14.0,1
17.0,1
19.0,1
22.0,1
24.0,1
26.0,3
28.0,1
30.0,1
33.0,1
35.0,1
37.0,3
38.0,2
40.0,2
41.0,3
44.0,3
47.0,4
49.0,3
51.0,3
53.0,4
55.0,4
58.0,3
60.0,3
63.0,4
66.0,3
68.0,4
70.0,4
72.0,4
73.0,4
75.0,2
78.0,2
80.0,2
83.0,4
84.0,2
85.0,4
87.0,4
89.0,2
92.0,4
94.0,2
96.0,5
98.0,5
99.0,3
102.0,0
104.0,0
106.0,5
108.0,5
111.0,5
113.0,5
114.0,5
117.0,5
119.0,5
120.0,2
122.0,5
124.0,5
127.0,5
130.0,5
133.0,5
135.0,5
137.0,2
139.0,5
142.0,5
144.0,5
147.0,2
148.0,5
150.0,5
152.0,5
154.0,5
155.0,0
157.0,0
159.0,0
160.0,0
161.0,0
162.0,0
164.0,0
167.0,0
170.0,0
172.0,5
175.0,0
176.0,0
177.0,0
179.0,0
181.0,0
183.0,0
186.0,0
