Node,Cluster
0.0,11
2.0,9
5.0,6
8.0,9
11.0,6
14.0,11
17.0,11
19.0,2
22.0,2
24.0,2
26.0,6
28.0,2
30.0,9
33.0,11
35.0,11
37.0,6
38.0,5
40.0,5
41.0,1
44.0,1
47.0,14
49.0,1
51.0,1
53.0,5
55.0,4
58.0,14
60.0,14
63.0,4
66.0,1
68.0,8
70.0,4
72.0,8
73.0,8
75.0,5
78.0,5
80.0,5
83.0,4
84.0,5
85.0,4
87.0,4
89.0,12
92.0,8
94.0,12
96.0,0
98.0,1
99.0,1
102.0,12
104.0,12
106.0,1
108.0,13
111.0,1
113.0,0
114.0,0
117.0,13
119.0,13
120.0,12
122.0,13
124.0,0
127.0,0
130.0,0
133.0,13
135.0,13
137.0,12
139.0,13
142.0,0
144.0,13
147.0,12
148.0,7
150.0,7
152.0,13
154.0,0
155.0,10
157.0,10
159.0,3
160.0,3
161.0,3
162.0,3
164.0,10
167.0,3
170.0,10
172.0,7
175.0,7
176.0,10
177.0,3
179.0,3
181.0,3
183.0,3
186.0,7
