Node,Cluster
0.0,2
2.0,12
5.0,6
8.0,12
11.0,14
14.0,14
17.0,15
19.0,13
22.0,2
24.0,2
26.0,14
28.0,13
30.0,12
33.0,15
35.0,15
37.0,14
38.0,8
40.0,18
41.0,6
44.0,16
47.0,22
49.0,16
51.0,6
53.0,18
55.0,0
58.0,22
60.0,21
63.0,0
66.0,6
68.0,4
70.0,0
72.0,9
73.0,9
75.0,18
78.0,4
80.0,8
83.0,19
84.0,18
85.0,0
87.0,19
89.0,11
92.0,9
94.0,8
96.0,5
98.0,17
99.0,6
102.0,7
104.0,7
106.0,17
108.0,17
111.0,17
113.0,17
114.0,5
117.0,1
119.0,1
120.0,11
122.0,1
124.0,10
127.0,10
130.0,5
133.0,1
135.0,1
137.0,8
139.0,1
142.0,5
144.0,1
147.0,11
148.0,10
150.0,10
152.0,1
154.0,10
155.0,23
157.0,23
159.0,3
160.0,7
161.0,3
162.0,3
164.0,3
167.0,7
170.0,3
172.0,1
175.0,20
176.0,23
177.0,7
179.0,7
181.0,7
183.0,3
186.0,20
