Node,Cluster
0,3
1,3
2,3
3,3
4,3
5,15
6,15
7,15
8,3
9,3
10,3
11,10
12,10
13,10
14,10
15,10
16,10
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,15
27,15
28,2
29,2
30,3
31,3
32,3
33,10
34,10
35,2
36,2
37,10
38,19
39,19
40,18
41,17
42,17
43,17
44,17
45,17
46,17
47,7
48,7
49,17
50,17
51,17
52,17
53,4
54,4
55,4
56,4
57,4
58,7
59,7
60,15
61,15
62,15
63,7
64,7
65,7
66,15
67,15
68,13
69,13
70,7
71,7
72,13
73,13
74,13
75,18
76,18
77,18
78,18
79,18
80,19
81,19
82,19
83,4
84,18
85,4
86,4
87,4
88,4
89,0
90,0
91,0
92,13
93,13
94,19
95,19
96,5
97,5
98,17
99,17
100,17
101,17
102,16
103,16
104,16
105,16
106,14
107,14
108,14
109,14
110,14
111,14
112,14
113,14
114,9
115,9
116,9
117,14
118,14
119,14
120,0
121,0
122,1
123,1
124,9
125,9
126,9
127,9
128,9
129,9
130,5
131,5
132,5
133,1
134,1
135,14
136,14
137,19
138,19
139,12
140,12
141,12
142,5
143,5
144,1
145,1
146,1
147,0
148,9
149,9
150,9
151,9
152,12
153,12
154,5
155,8
156,8
157,8
158,8
159,8
160,8
161,6
162,8
163,8
164,8
165,8
166,8
167,16
168,16
169,16
170,6
171,6
172,12
173,12
174,12
175,11
176,8
177,11
178,11
179,11
180,11
181,16
182,16
183,6
184,6
185,6
186,11
187,11
